voter address, voting power, voted
ca1q5qpezqhv58tt2e74sdwh77wjs3t2a6ltrn35aw6qyu3qjfzg38lqzh0ngg, 50850, true
ca1q5qp7xf7gun3mev3muq89ml97l00993jsfd323y0r7hujklqzy3qjkfvqww, 874, false
ca1q5qzztcw0xdkv9r02m202n563y47uj52fdmr7c72jzyv4nn8gyu0jyalh3w, 35, false
ca1q5qzrgpux539kapzz8yej7zwthw6qmtmdxflfctakqqahkxq7yr4xgm2pq0, 1328, false
ca1q5qz973xfm02xq8sm4a7640pm5fae4kttmr9d5aa5c36cj3e43tw6gk8j5a, 2411, false
ca1q5qztjctmrsht2s85xf2gwd58vcmjayalk292kd2enhl4qy6sh9wxzf7fvd, 3574, false
ca1q5qz5y8zcugsqa9092kq5vqfuttjjv0sxsj4fpkxazkunhwq33apjy429pd, 4827, false
ca1q5qzhy85wzef2vmxp20edrkr8d9scdwp5vcrspxdjkqxp0xfljm0xk5e4zr, 2230, false
ca1q5qzhmvccj9tk59n04rylrz5e0ceqpus4l5dmpuyg74085ft7yk2ku3klwa, 1198, false
ca1q5qzcpr4g297t0h47eltldm3eshx9v6te5sq7vze0jxv7fxtvu3wgdvzpz6, 2061, false
ca1q5qzukph2mfu0y0nxnutd0kql2jdrew5k0junr9d67mzx0p6400nugxrcrv, 6438, false
ca1q5qzly5sx75k366fzhzkcqt40ek4ahp2t3pdpsnzh8vq362h0gnk7e3as8q, 9552, false
ca1q5qzla8lutz3zx968awlem3kr674sezldlagd56xu7ls0xxe456fujqlcc0, 16000, true
ca1q5qrxtj960hlxjcduddffegpw3n4n5p0s3xeu696c684ncw094su5gqyq3m, 54, false
ca1q5qrg9f9n7a9yda0s8g36wfvamr33dc6rjmhf9exvthe230wdrjrwzzepky, 1384889, true
ca1q5qrgt06qq9t252lstk867p9jne9326aqj04g4ffzx9w8q27xae22zc97my, 12201, true
ca1q5qrtplx49jfwn6smt3gffl4qsd6d0s9qse8ffauu73xwudrx7cj6vxyjg8, 757, false
ca1q5qrvvxy5lprhhu6amh7vztxxqytktctgmut7gfc4c298mjme802g445d9p, 44334, false
ca1q5qrsprf7w9shhnz5qtsz5re3c2wctydu2rrs7gn3xram2ef5mjk2mr0xgl, 3001, false
ca1q5qrsxdpchcdkp5vp0d8fucp4me8k2fypawp580j388nxuuvsfq22ka0sc6, 1670, false
ca1q5qrsd5znjs9hs7g2w6xra37jswc24e66mmmmhhym87mc5cggeguu5stncz, 925, false
ca1q5qr3jkanawpjxxuxak772qdkzz5e8svfa8wx6ztxu46v8a2rla7c447lpu, 1287, false
ca1q5qrjl9qg8erd7cx4xksh7ugejhqq3566fty27nr37e7k3h6mhym7mmm20v, 1000, false
ca1q5qr52p7vu2pr7dwcgzgzzn6apedvflfr2hkvnwfal4ewq9hxsdr5hn9wf8, 8159, false
ca1q5qrevj3j2kv4a8yss2zlme0uxdsqp6gs20hqzadsxjh0w22u0qj22yyshh, 8492, false
ca1q5qr6cs2h4nn3hehy9957f89h85rh92sx0artuayfrcz80e2macfyaxawty, 2045, false
ca1q5qr6c65fwanj50wy2w6u3afjxcxxm0ys4yuhqxxkykn73qajj2q7d9lg4z, 1921, false
ca1q5qrm3xqczz2dfd6acr4mezevkfv8s0fdlh5aa6kc6cu9v9v3a69clmqk6q, 31, false
ca1q5qruyultw2lemctetk7t4fu09rtpceaem6klang2hw0fw6nwpuk2t22c47, 20037, false
ca1q5qyqug3z6p5tgdckhmkwdtl4w3weyj80gxvsw2m9l5vyg8uhk0ajv8jp4e, 152, false
ca1q5qyrd25cfxehpjx8ueenlz8ln4p2lw4hmndrlptwp8t5y60dp5fslf5q8m, 887, false
ca1q5qy842ewu3yk3cqqek2sgq9llds886ct443nc4ptddzfddvyqe3k9k2u7q, 401, false
ca1q5qy2ph8x09h86ccfa2up680u03s20eznfqk56zjdj9w6f7xx7jxkqyepl3, 4911, false
ca1q5qytjuevkt0sk2zhgkdg02284xwxcneszcn0keqqn8l2qu9uy2vxkvkxzc, 1720, false
ca1q5qyvzqfkf6zmwledqzmjdth03x64vadps74wagh9tzehuv3hynk62hrqr0, 641, false
ca1q5qyv324zdvt6jkzmddqzfpg8w9muqgnv9dpnzjxl6xp8rngv36k736kukp, 9122, false
ca1q5qywype5frxarl50e9exnf6f2nr7xcgu065mnzgq3jpv28yljwss8c5gju, 23388, false
ca1q5qywydmu5qdtghtsz3wl4gkwvghjymd3lrd6sfkal66yl0v36mrjmrlknt, 35, false
ca1q5qyjjwkmk5x90md8zdnxjwtlhd2w8c5qkkw0kmunc3vdykvquxaqxkqd6p, 75, false
ca1q5qycd78s4fxy4qp4xjvjekm3hhtwjss0vav8xdjhcg9kwvvz9ktqgkp27x, 2515, false
ca1q5qyc5u6669sau480ytg7l0qhllh5rvjvt67alkpvggqp92vz6m2gmpjfnx, 4272, false
ca1q5qyeezcvqt94w0sme3y6q9yfs3k4tc4tped3yregwmerefn3cne6z49kw2, 339, false
ca1q5qy6v3kcwwdgz2ygjs5ch5ytgrp7d7y4hv33th7ckncnf8dvsxnwuc0t9g, 1018, false
ca1q5qy65plrt5kcmjjw4kvpms77vn7ll3229p57sxz0x6j6flxfe4t5l0r2ys, 9572, false
ca1q5qylsf4uy57m0ux6md4rc0tcme0jul85syel8n6564fdxte6tnd7ms492c, 7997, false
ca1q5qyluz2trtuay5wn5fkxgx58nw3ydnhgvvd7z4gf455lnea8ml072rp37m, 39, false
ca1q5q9qku2r2zfaft0zl3ddd00wnu704d5tmru85h9wpdkpc9ej8445uhwn7w, 19057, true
ca1q5q9p9xrgj2e20hpm0yl2f4uz2x8d92890pj0p2dduygkvlf2ap25ynylyl, 500, false
ca1q5q9pvt22sv75wt3005h4d8j4gczhp357pnqwrm929lmp0pt6kr5vgynmdm, 287, false
ca1q5q9pdmhl3xfymcgjlwvay2927j7edx7gwesppyr8980y0aed3hp24pgu4w, 322, false
ca1q5q9y8f3av2wh564egvma2nkqkrn0v9sk3tw9jgy2pzrefy0ektcclza8ca, 173, false
ca1q5q99xrhes9r7vuj3k4rkrde5735vcm96edhauef05yufdrdjtrr2ad4nz4, 30, false
ca1q5q992n8xktq2daz9edy2qp5kn0vhz4lzx80keg56l8gqkhenxvv5dc66hx, 507, false
ca1q5q9xpx0qrqmrh57gpj080ls4h2x6gc8prxc8z6zhyy9ppjkk0emxuzw9a2, 8379, false
ca1q5q9fgp9sc4rhy7crgqzp90rrqka0cn3ema4amwqq00umcx3dpt5cefvrmd, 1208, false
ca1q5q920zu43mfqf0uf0l09zwvdp99px60stt9a3mn8msrvwezfy0rv8dn0kr, 6322, false
ca1q5q9t322fcwvfvpdeg9t773wkgz72ww9lg8hx9yxxxj2hn93jtphysmefdx, 851, false
ca1q5q9va7ktfhnuv65476whck832fm5lccmtrwn008sy67f0wq2lgskgrtsmj, 166510, false
ca1q5q9dv7m3cpvyclgw9za7x549uver9z3keef6upe4h509l06n5mds0phzpa, 3026, false
ca1q5q9w0jk7fw46sz0guwem7g85y0swym6k57e0ysj3yqtl6kv2nmtuzk8feh, 5306, false
ca1q5q93h6mex7knu480f6wnda4ph586qf38pp40u7e9c387y2hnnw4vsa0mvq, 5558, false
ca1q5q9nf8guu0xx2hvmshtpmqfhd5pxza83kx7nqfxtanka4slvcewyu55c7u, 24928, false
ca1q5q9e9z20y53d65yat75wzyf9f8aj7rltq6edwrd0kykezpkq3aqqhzjyap, 1313, false
ca1q5q9e6aj3fx6mejyqg6rfx26z0ra72rkh7hp4f90qlhrsmzd2r43j2gzsa7, 25, false
ca1q5q96ldxq65u2ekpu4q8krgltvmle6vklnhkzqwwug2y8pfmj2ffs44y5fa, 734, false
ca1q5qxqve4vhmextjzdwdn0xxnc8eukkge9k9lathgzy3v0wpj3qdg7e0x5vw, 586, false
ca1q5qxpnwhs7qnpr4wkt7twc4x56fprlu27ze638alp767suy2rkf8wtf3slq, 583, false
ca1q5qxp5w7s08lyg3wguzq4zcfxsr28wckuffkrh8zej00kmvvj8asshekt7d, 117, true
ca1q5qxryc7k2eac6durju3a5j7takmhmseahmz9car96gkw3074l4rskzhj4p, 253, false
ca1q5qxrxhpgs8wx3ccmc033d9zc9kgyzrg8dyfkddqeu5aveqkjh7vq8yxmx0, 263, false
ca1q5qxyuxwpveqr60kq3ahu7l0synq6xk5n5t4gartdrv6l8c9pry32hufr5l, 15144, false
ca1q5qxfwa9wsn85s5ze9gnt5g5u4xl29kyva6xvy9ge0yz2qz4f54vghl4s3v, 20641, false
ca1q5qxflqx7uguvdvyr2ayfzkkuwh6q0wxt2w8m8sjn48sw27r4zwlktl4nf6, 2541, false
ca1q5qx2nlgf3rtz7ludgw8kll32aeujjrzjp44lwmkzy8pnes0m0eejfm9a2q, 501, false
ca1q5qxdmg64jf4c48aahnm92zqnj9czswrlwpun59jtnw6y80ukat0k58l76g, 5767, false
ca1q5qx0tcntxtfyu7662yccs3r9h4wt93xe3xxu9lflgvctu6vgmpcjqpctgk, 9670, false
ca1q5qx5we8r0nqy4xlp5umpgfcjxdszhsw8ylp3r7ju9jueu62278h20vwn5h, 1784, false
ca1q5qxkn37fvpq5whrttqwqldqtyythlz5ulv3r5j0chfv5xw2a3a9cyhv9yy, 2707, false
ca1q5qxh406xjwrk30gznetya5xuqwzxfdtv602hk9yc7uw5gd5ex06yq5mhgf, 9600, false
ca1q5qxc5ctqj6gw3a554sqc85xz2hd5ldunnvfy5wxxuz8umwjqc7tjs02gk0, 5010, false
ca1q5qxetyhuakz3f3k44szvyplp5htmh8m9twyekw9et5qzagskqyxj7zy76w, 505, false
ca1q5qx7c3e977xuazvaym6ds0c46vagmazeq9akwa2qaaum0sxc26v52pgg4w, 500372, false
ca1q5q8qxrygr9p9zcgk256h7925ygy050a5dvurc02ln9hcgrsa7s9ww54yu6, 7031, true
ca1q5q8rakqq5un55mc4ee9eu9et09sjnhacqqz3z7qgpznxw482j4xchazsar, 443, false
ca1q5q89u7gn9n0x2t276d2ytauqycdvr6mppzj4vu3ytwzsttz95aexd97p0w, 17309, false
ca1q5q8gj7tax68jypvw7r2at5pagle8jclp5t5v9wsg872hcl7ah6l77963zw, 28, false
ca1q5q8fq8vwdxzkguxtln8vyvr65zl9qwmpg9s5fnav2avstxuyzlzucfj7s7, 10855, false
ca1q5q82e8y73j2c3ht83eael5wrn8rn6vgrzywfhqp3xprhhcudgnyvz0tejm, 4347, false
ca1q5q80uch76gk0hrs6k6qhvsax4s4a2hrcae8uqh3hcsaqfs7e978z305l0y, 610, false
ca1q5q8sh9zkr6xwmnrt7tx9f7v638xvwj4exd82z2krhwdhwzck5hu7euhrsv, 384807, true
ca1q5q8jqxkzakdhnuz8ce2g7e2r44e0qwnfcsqyyz5s343e88yxwlacwm85km, 22999, true
ca1q5q8a3w5jrg4hrs24ccnvs2n58kygdjd4gjcxzlas7vz26jyftmfjzghp76, 9235, false
ca1q5qgpz34u3apxrs2q0tsjhvv4jznyh6cjkz8n4c8k36jqyfv24sajmz4txv, 3503, false
ca1q5qgz93pyxdvg29gp5tnyu48g3q3akvwmw8kjchgf88crzctmm3mv2w28c5, 2678, false
ca1q5qgrymz5rf8x0ngvz9y28jchus3psylrx4lxl6fq0sm0y784g0m7y84dng, 3126, false
ca1q5qgx5drzdfryeey0qgg69kthgqfu2a88ldfrrjs3e9efuh6psqr26chhmg, 96, false
ca1q5qg8t4wy5c3w70klx8dx0d232fxpqv9f47z6sjgydw05halu73s7rf7rcn, 3334, false
ca1q5qgt5d3d4sd9rxua0ldrsnn9w5cdalrj8cqxt9fp6rwea28qstk2s4v59m, 4396, false
ca1q5qgtua9eharc4yenepgrm9dr3atz0sf8wlatepjackqzmwwlj3juzt2peq, 1081, false
ca1q5qgvgruwyzlezges9ypyty3nqd7284zuxlfcml94s0nn5ch934lwkvjtdq, 5268, false
ca1q5qgv5hl0alrzrxfu5tnsgmemmajskfsgf3keu2whd2shwjmcrsdslejfah, 269, false
ca1q5qg04gs20arrgk0cf0mlchmqhaz65w8fg2f9laatkn3emhhzvz3v7kdn5h, 1397, false
ca1q5qg38jard97ft82txn2vfxkg5s3ufeqa9422f8945ftlf3fd9pqgx63usj, 1934, false
ca1q5qg30akf70776m5l2nreuv9yylhv8sv6ng8mxrp0rl7thz55ya6xxpqj30, 43, false
ca1q5qg4y2udf6l0ylpa4wleqyvvqlqaetzclnmtq0l5j42kje7zu04uf6ral3, 20003, true
ca1q5qg48tgq43maxr9saufqqwq09wrwsdnx7yel378mhvuv3l3e0ce6up9m3r, 3828, false
ca1q5qgk6ty2lyf7242llx4ym5c5ag47gthnm7n3e9d3ltd5rqe5q7skdjkn3c, 17000, false
ca1q5qgkal7p9af78wlt3zyk5k5cjwpv5q3lg833vve3anaz8pzmla0ucs4mys, 958, false
ca1q5qgk7uylwh7uj5ruz9py7hg7afhzfe024pv9sc55405zgqeltq4vxgy529, 400, false
ca1q5qgeuwhrsym6thqxdta8xxfxxd6wkqdmpwk3ufj20mwy9s80m245tsjz6m, 2172, false
ca1q5qg6za8pu4ryse254nsn49tp3fa5ecpgf7nsgjw4mf7e4edd7p07yd6r33, 83337, false
ca1q5qg6kw5dfks4y6sy5efkw282alxfg5x9x9rvmtve2askd9xz0m27ak9drs, 45, false
ca1q5qg6m079wm6ccgzxsvwj07v7l7wzfha5c3yvyehtewkl7kvq7977sdzrmj, 106, false
ca1q5qgmnapmr346gu9t83hzcvl5sdy8zeydxwf9u3d4exsatf5cq4vvq8amm0, 114393, false
ca1q5qgmerpgxegsqrxlk97np4mmu2yy4hwhd0z77n3ke55umqk8cdrc7xemuj, 2474419, true
ca1q5qguhegn3shevgka834gzdzp3y30ql4lfvdpm00trz9q8880al9wkla9c6, 70361, false
ca1q5qfrngpxuu3d7kle23qxkdqlcddsq2j6csgqu5z9lez92wqmlqevgfzss5, 3556, false
ca1q5qffs4fsjgp5u3lfrjl6632fkzew235tznkautze6l5gv73mmtgkpndfzq, 16498, false
ca1q5qf23hzcudnugag7tguyd37ulnccc7ky7xc9l5mta3zy709yg4fvtp63mm, 16084, true
ca1q5qftx9rfwjyt2lgeatpy9yw2d5wd07m239sxggykevsemenekwtcl026vu, 20284, true
ca1q5qf0tlgc3xdhjy5v0dcv7px9fv2hhcmc7p7awv5acq54sweqeapckfz4h4, 139144, false
ca1q5qf53q9zf5anv36g5ge4a3wrhjarkxa7ylklk0xc9msg0auxk22zvaz3la, 1535, false
ca1q5qfc8g6z76esrfufky2udpd2atwtvulz476ufmvvflr6zjhhwu6svvkw0z, 100073, true
ca1q5qfa93wl9u42u8sdr2ekvdkn94w8pp6tzwk35j6tp2xjd6d3gr52mn30fk, 2660, false
ca1q5q2q6e794076n72vr7r4aagrr6ms2xc8633gvcx67c0dwa6zev6gggl9js, 593, false
ca1q5q2p7f9w55ugvr77pfwntt0nfvuquwesh99vzf9x9g5wkqpldfkvrt09ls, 5009, false
ca1q5q2zn8jqjvy6a05zyasn0uaj5u47jmndfvh04yyfrq0g8cq2v766le6w96, 3393, false
ca1q5q28f02jx5je8ncw37aug7dy5dp53evuprdhpy9jas7nerghd68jhvj27c, 48855, false
ca1q5q2gephpvkk3da6r6yrw3uxxxzqtds5p7es3f2qg9afh0sk97y4wvcjhrk, 502, false
ca1q5q2v45dfexml5s9z60xtp3mt8x23fkjuc7dv6qqj07rceqhe60cwsfydad, 159, false
ca1q5q2ddf8hmy6yjyyeck2h8hwzd200r52kclpqmypkpff04h5rxemc6krfkc, 2205, false
ca1q5q2dwnkyjzuprcfzhywaf03uetyynql6k3j3me2lprtveakc3pzzlrwdgu, 689, false
ca1q5q2w6gxvhltez2z326rpfe5yj2j0lmxx4sxmalf3fds59rzumhpzw8lclw, 521, false
ca1q5q2wm6mtxw5mcntqgxm989d47cyl3qappnff6v0gw8lm2rs7g8yzg2x8q9, 4310, false
ca1q5q2079g3yqu2tw08rcy6gsfw7ndz4hxndx650zv9p0k4je4zwfz5lyreh8, 1173, false
ca1q5q2scq65y7kkcl3wc3smy48annn0wm55ynckrgcmk5kpff7f7reksh458p, 1407, false
ca1q5q23a3lk379hwue2l2kgs0jkjsz3sexc0jqf6gtfqs2utkxpwxzkxse765, 71, false
ca1q5q2jzpwjuv7x3y37es8r0h8z79kzyl45phlep5md56ank9djeufcx2rf0z, 499910, false
ca1q5q2jd3x0s9pcj9em38aqugelv0gjhjmgxrpjc4f9y7qqdke7cjpvk07kql, 5146, false
ca1q5q2k2qyk56zvpu9jqu4ksdh9dtn4f4a65al8frh9e26fj2pjx0ax95pzkd, 1727, false
ca1q5q2c9ekezgdksjh57js26kws8mapf90g98ej6huhnrkjc29hqepc9t8ez0, 2105, false
ca1q5q2c0lkxtamyedfzn0kvtjdxpuhkx0scq32c4c9t5apnlfpdkq0jg89895, 20016, false
ca1q5q2efrex089thzvj9dj6zdwfy9vfr6dzej5yenzscjjnh6ezs7ps8wmvg9, 45968, false
ca1q5q2ecex7zdlz8wcyur9pdf2gjx2ygkvq3g55vwlhf924zxvywvtvpp98fg, 2464, false
ca1q5q2u805mctysq40w86l5gnz95kfpjguryrzkw0lchm3k8um8h2s2f0tr64, 30220, false
ca1q5qtqpgc55mzksyf6fqgegk7nzdrd72lzs7u5mze0fn06az0ju2qwjpyqgv, 1001, false
ca1q5qtpzcyhc66vlette7n056x49yq44a56lvwy4rauk05fd7evs6s6pacjq7, 4572, false
ca1q5qtpf7kkect7v43ggxagmru7vnuxhp0hca06xwc7evfhmgvcp4d6udqy44, 201, false
ca1q5qt8u09afw2f4fgh24fg5q592xntnt9lzyzgustcxutzt32t7406km0cpa, 1013217, true
ca1q5qttfsjk35xvlq5ngplkqn43ld429w593acz5a9ddf8e4yvfpwqz8lpzq6, 65, false
ca1q5qtdnfn345hc2dg6nydht8mfkkhe9t83yggftxnvywtduy6ta62kttaqvd, 248079, false
ca1q5qtw77xphch5lqkg5835nrurjpvuv46khdu6kuaqvf7fcm6fq72sx75jzh, 25, false
ca1q5qteatzweq9des3nru3n9jvagc2ppq47gucc3pspx564ekgj4j6cn3kkgf, 4232, false
ca1q5qtmxagy4duwwg9ye4w28h5094t8rzmx5dmtvalrlhftx8jvg402xzncqj, 664, false
ca1q5qt7jdfs0u86nhgflv525mtvadz7zdgdvqajfmcawr724pjjjn36jf9aa0, 664, false
ca1q5qtlekv4cjyc2ayr35frecc260eds0ywyjhygfwf8ervqwvnz84w62cwz2, 6272, false
ca1q5qvrha5mf2dmy4ypveh9jsft3kxyzzg04qz3hu2f6d97ck57maj7cv67xl, 2142, true
ca1q5qv997m7plwskpkrylxsra38pvwetr0z5mu76zyj2ss59m9xt88qy3d5z3, 501, false
ca1q5qv97j0ur4ejaaeh06uagglxdm2le57hct735ulleqvykkjhzx6wwm6mp9, 49502, false
ca1q5qvx48szdgadjkt7ua3jf2umjhjgmf5a3pvswwfpkvxw8crzya5yfn9fu6, 195, false
ca1q5qv87lex3ggthhuglkyuc5wxn77dsxmypag80x4h9sr7u473ckgzwdf5ck, 882, false
ca1q5qvtatpdv05ykstn2v5x7j9jds4ghmtl5dprsuk9nhv2sd75s0vvgujhf0, 18396, false
ca1q5qvwaf40xklkzlvl3j286kh4plpwfyuxvwyqxpdauq8ymqrjw0ps5xu803, 453, false
ca1q5qvsqfa8h0rg99ly3zhn0x3yhnw4jnqqjwfns3xj5qav9pg3h07cwd7djh, 78, false
ca1q5qv39cyyfs3rhrsnzx3yv6sq692vhfrkpnfl39sauthf8rfgclt5jvcua8, 5211, false
ca1q5qvnyncl3r8yegy2n4ctwmwx4yf4er4c8k9aka7mnqygdp939jj53mh7aw, 2209, false
ca1q5qvnd4p29sepk8q9asrxf6k0t7e3m4vuu9rfgq6evk9zlv4kyh8jpf4wcq, 77109, false
ca1q5qv4xa7ejes7h0um9v0cdjsjlul76cjg8d760m8ddauk43238scwktzwxh, 33, false
ca1q5qv43y68znk8x79pr96k9gaeyx2zp64eg8x06re0ljpq8q5tpspxpmhmxa, 597, false
ca1q5qv4hm4vu8sw7p6sa0ns59pxuzstgnvhvduawthadzh655g9zn3zyuj7fl, 2810, false
ca1q5qv4ane54hg67j7rjxnhzla8q70wt34g7s2jrp0a3qgz8rffdsx68gf37e, 1269, false
ca1q5qvh0zwdwxwhnnprsdejj9rmeukjjpdpeq8wplnv7tws56zdkl6j3m0qkv, 3498, false
ca1q5qve6k9xjkwpae0sp6qxp6l9ssqjts73xf69esrp6ln56u7pn9yzuqxhye, 1386, false
ca1q5qv6jrj6zh2z6caxcpeu7gkk5v0jarcemljkt6e0hg5lq4rmeu2wgqh20p, 645, false
ca1q5qvundxa4u4vsvypj3chzwcthyw9ep4rs0lkfgu0q9884cajswjql3kap6, 6065, false
ca1q5qv7fqfp8hag5akhr005swxk8gvwrdvqns8vty6wwc73428lme0qmxh3a4, 11731, true
ca1q5qd9qp0vjkhsefjqscwp50933pdx69ah9py4ahrnumj93qjgdwvxu2vev0, 19284, false
ca1q5qdf2jpr8lkdm3cerjkf56p8rfenk8lvg2j6u87tyv4mjc60w8gsa3pvx6, 49999, false
ca1q5qdfkzmuf2t8tzl8dcl2jkeum7kjuujnglnnrjx2m2j8pyy9tmecqeg7pd, 3269, false
ca1q5qdtqunzf7rwy4cpdpvs0l636jwwf7mekul9ktxaurk6are0cgtz26k4xg, 1000, false
ca1q5qd0w8f02qpk99sqyl8f6ntz3cav2h3eghduzeekyw0vnnpx3wgwhgjjt9, 3610, false
ca1q5qd3hj3ml5y2l9racvan92ez55h3d2cy5wuwa6g5k0ekvjckjv57rmld7p, 32780, true
ca1q5qd3cs03z6wkwpf5j9ecl988u3d6c6pjda76nemjraxywvvkh0tknf552p, 320, false
ca1q5qdjq6dje5ygadxfth5cp0j7u5v5v9t9mxr5ta4glngkxyjfqsvk3scsa4, 1897, false
ca1q5qdn2rf7zscvs38vetqjr4k8mg8vt793e5tz7gmf084xv024f6ju5erdk3, 9734, false
ca1q5qde0mlfnypt7dmqrq7lql9xtpfrm8q6ta49s4tqmylm0w7m00szcy6t2e, 11161, false
ca1q5qd6vpv7vxm7ml4zjlwkeekuhu97k68ll68d0vvqxul253aen93xjy84dq, 1932, false
ca1q5qdlafmpy0zhf7vsdyk2zcazafyusyx0gvzgc3pj276nw2qzaqnzgd7wzv, 8781, false
ca1q5qwzsszkmlc0rh9ez9zumwnu56998ju3wfq6zet0nep6907qr8n5gat87s, 74, false
ca1q5qwxcku7gpnjwd3a3tpu5y7clcmvu6s68g7n5m09jwqqwc5r95d667apdh, 17112, true
ca1q5qwg8m2rh84707lavrxc59eym9ej24u3wxay23jxxwzlpyyedyju067r2y, 274, false
ca1q5qwt85g6peh9k8hu3v4z80r6zkx94jfzzkwscnfeantagxmudge2hjp848, 11353, false
ca1q5qwwyfjrarcsq0h2clh7c7d3mgy7l3p6m7zutjl3k72ywvwlxn9gsz2dcr, 90, false
ca1q5qwwvz2ff6y2nuvf5chql74pasrnxwnw8y5ls9k67ph5h6pzjc2vmu3r8f, 269, false
ca1q5qwweac7yr9uc2wzzayu0lygyyeqkmzuyqpxyefj2hgwh58x2qu54nmn84, 4040, false
ca1q5qws9h4rxj334yc29ueavyhexqxj34xvgce40h2e9ny4lw0nj4uv50axl8, 24086, false
ca1q5qwsg2z0790u6p478gv43xdcx8ffgtzntqjvt0w4g24sk9y62y9kp645t2, 141, false
ca1q5qw6ucz8p79m6d6g9c42heqm3kf9fm87h62je4cz2ej26pxdt4tjxae9g2, 29997, false
ca1q5qwu0qy2pf3yjjmz935qs9jctyvja9dvtdllw4yvvt70yey9k8jqvg0gv8, 117639, false
ca1q5qwavm7rjuw2vyuvpa6yza0zxpm2jn4ywjq23xw52j9audtywvmsl3lklh, 531, false
ca1q5q0pqd4mxksstt2dkhpfx75u9hmajtrennj45hthvlswc3f3yaq5fpe9aj, 10001, false
ca1q5q0zyx627wkp27f73z04jwmhav49uzq69q0fzuuvyqsvxg5vwu52r7vtnm, 25999, false
ca1q5q0yfq3xduye3vfw3z6f0q03uwp6yfntkfhyvet4v4cnmupqzlsvhqdvuv, 36560, false
ca1q5q087wvnwjkjmdsw0xyf553h8epddd98wafa8ur4kygkt2u3y5gvtcmdws, 5475, false
ca1q5q0fu56k6utrvq9euk6nuwtkagra4vyga6p0p3fwd928czjhj2vwlg8axu, 1424, false
ca1q5q023w0y6hj6ygjdjh2f4uspvwvmez693h5rgnwz4p4jtwse034vm2d4my, 599716, true
ca1q5q0vducf77y0hgy5rfh7at8hc2neycwu2x6vrsl0f4k0ph9s34n2mwhw7a, 13115, false
ca1q5q0vhtd2cp96gcar2n57ryp8z3t8psjaw4nr34d7y5d2nwfs365chpq2pe, 2771, false
ca1q5q0wzhzd0dtn0gyuzcqrj4wpeygx5vyf0xdwkrlss6crw2qau6y6xgw8k5, 423, false
ca1q5q0jkjsjwnuwpvdu7p7p5sst9mrgt4c22c7r8x4zeuq885hqk0egjfq2cv, 57, true
